ID,SENGA14,GOVGA14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BORNINGA14,BRNAGAIN,CALL,CDNUM,CONTACTGA14,CONTACTNUNN,CONTACTPERDUE,ECONBETT,ECONDIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JOBSIT,LATINO,MARIJUANALAW,MARRIED,MINWAGE14,MOVETOGA14,MOVETOGA10YR,NEC,NEC2,NECWORR2,NECWORRY,NUNNLIB,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PERDUECONSRV,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,RUNOFFGA14,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,VERSION,WHNCLINC,WHTEVANG,ZIPCODE,WEIGHT
91764.0,Michelle Nunn,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,Complete,,,Call 3,13.0,Omit,Omit,Omit,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,Barack Obama was not a factor,3.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,The economy,,No,,,,,,,,,,,,,Omit,Omit,45+,18-64,,,,,,,,,26.0,,,,,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Omit,,Female,Black women,,Suburbs,Suburbs, Georgia,,,,Election day exit poll,,,Before that,Before that,Before that,Before that,,Version 2,No,,30236.0,0.559173047542572
74558.0,Michelle Nunn,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,,,Complete,,,Call 2,1.0,Both of them,Yes,Yes,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,To express support for Barack Obama,5.0,,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,,No,,No,,,,,,,,,,,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,,Liberal,16.0,Liberal Democrats,Liberal Democrats,,,Black,Black,State questionnaire,Black,Black,Angry,"Dissatisfied, but not angry or angry",South,Michelle Nunn,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000", Georgia,,,,Election day exit poll,,,In the last three days,In the last month,In the last week,In the last three days,,Version 2,No,,31415.0,0.153393566608429
87808.0,Michelle Nunn,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Once a week,Weekly,Complete,,Yes,Call 3,7.0,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Omit,Omit,,2.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,,Worse today,No,Illegal,,,,,,,,,Omit,,,,,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others,Omit,Conservative,106.0,Moderate/Liberal Republicans,Conservative Independents,Very important,Important,Black,Black,State questionnaire,Black,Black,,,South,Omit,No,Female,Black women,,Suburbs,Suburbs, Georgia,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,,,,,,,,Version 3,No,All others,30024.0,0.629370510578156
55003.0,Michelle Nunn,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,,,Complete,,,Call 1,2.0,Only Michelle Nunn,Yes,No,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,To express opposition to Barack Obama,4.0,,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,Health care,,,,Yes,,,,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,Moderate,133.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Black,Black,State questionnaire,Black,Black,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,Michelle Nunn,,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000", Georgia,,,,Election day exit poll,,,Before that,In the last month,In the last week,In the last week,,Version 2,No,,31906.0,0.418320924043655
55002.0,Michelle Nunn,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,,,Complete,,,Call 1,2.0,Only Michelle Nunn,Yes,No,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,To express opposition to Barack Obama,4.0,,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,Health care,,,,Yes,,,,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,Moderate,133.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Black,Black,State questionnaire,Black,Black,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,Michelle Nunn,,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000", Georgia,,,,Election day exit poll,,,Before that,In the last month,In the last week,In the last week,,Version 2,No,,31906.0,0.418320924043655
86727.0,Michelle Nunn,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others,,,Complete,,,Call 3,11.0,Only Michelle Nunn,Yes,No,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,To express support for Barack Obama,2.0,,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,,No,,Yes,,,,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,,Liberal,40.0,Moderate/Liberal Republicans,Liberal Independents,,,Other,Asian,State questionnaire,Asian,Asian,Omit,Omit,South,Michelle Nunn,,Female,All other races,Married women,Suburbs,Suburbs, Georgia,,,,Election day exit poll,,,Before that,Before that,Before that,Before that,,Version 2,No,,30144.0,0.568232655525208
86611.0,Michelle Nunn,,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Once a week,Weekly,Complete,,No,Call 3,4.0,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Omit,Omit,,2.0,,,,,,,,,,,,About the same,No,Illegal,,,,,,,,,Omit,,,,,18-44,18-64,,,,,,,Omit,,102.0,,,Omit,Omit,Black,Black,State questionnaire,Black,Black,,,South,Omit,Yes,Female,Black women,,Suburbs,Suburbs, Georgia,,Omit,Omit,Election day exit poll,,,,,,,,Version 3,No,All others,30039.0,0.59709507226944
929.0,Michelle Nunn,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Once a week,Weekly,Complete,,No,,5.0,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Favorable,,3.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,About the same,No,Omit,,,,,,,,,About right,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Too liberal,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,Black,Black,State questionnaire,Black,Black,,,South,Michelle Nunn,Omit,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Georgia,Neither,Neutral,Neutral,Telephone survey,,,,,,,,Version 3,No,All others,30331.0,1.94170117378235
89690.0,David Perdue,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,Call 3,14.0,Neither of them,No,No,,,College graduate,College graduate,More than High school graduate,White college degree,,,To express opposition to Barack Obama,1.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,,No,,No,,,,,,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,,Moderate,71.0,Conservative Republicans,Mod./Liberal Republicans,,,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,David Perdue,,Male,White men,Non married men,Suburbs,Suburbs, Georgia,,,,Election day exit poll,,,Before that,In the last month,Before that,In the last month,,Version 2,No,,30124.0,0.39918926358223
88831.0,David Perdue,,45-65,60+,60-64,45+,60+,50-64,,,,,,Complete,Moved to Georgia,,Call 3,11.0,,,,Getting worse,Worse,College graduate,College graduate,More than High school graduate,,,,,2.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999",,Disapprove,,,No,,,Favor,10+ years but not born here,More than 10 years,Not so good,Not so good or poor,Worried,Very worried,,Disapprove,Somewhat disapprove,,,45+,18-64,Republican,,,Republican,Republican Women,,,Liberal,20.0,Conservative Republicans,Mod./Liberal Republicans,,,,,State questionnaire,,,,,South,Omit,,Female,,,Suburbs,Suburbs, Georgia,,,,Election day exit poll,Very worried,Very or somewhat worried,,,,,Seriously off on the wrong track,Version 1,No,,30188.0,0.63502836227417
