ID,SENKY14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONGRESS,CONGRESS4,CONTACTGRIMES,CONTACTKY14,CONTACTMCCONNELL,DESCRIBS10B,ECONBETT,ECONDIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIROREGWV,FAVDEM2,FAVGRIMES,FAVMCONL,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,GRIMESLIB,GUNOWNER12,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,KYNECT,KYNECTB,LATINO,MARCHILD,MARIJUANALAW,MARRIED,MCCONNELLCONSRV,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRGRIMES,UNFAIRKY14,UNFAIRMCCONNELL,VERSION,VETVOTER,WEIGHT,WHNCLINC,WHTEVANG
52635.0,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Complete,No,Call 1,2.0,,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Government should do more to protect the environment,Favorable,,,Unfavorable,,5.0,,Not liberal enough,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,,,No,,,,Too conservative,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,Moderate,39.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,South,Yes,Female,White women,,Rural,Small Cities/Rural,Kentucky,Neither,Strongly oppose,Oppose,Election day exit poll,Not at all worried,Not too or not at all worried,,,,,,Alison Lundergan Grimes did,Both of them,Mitch McConnell did,Version 3,No,0.821047306060791,Yes,All others
52634.0,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Never,Never,Complete,No,Call 1,3.0,,,,,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,Government should do more to protect the environment,Favorable,,,Unfavorable,,4.0,,Not liberal enough,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Disapprove,,,,No,,,,Too conservative,,,,,,,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,Liberal,64.0,Liberal Democrats,Liberal Democrats,,,Black,Black,State questionnaire,Black,Black,,,South,Yes,Female,Black women,,"Cities over 500,000","Cities over 50,000",Kentucky,Neither,Neutral,Neutral,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,Alison Lundergan Grimes did,Only Alison Lundergan Grimes,Mitch McConnell did not,Version 3,No,0.771218836307526,No,All others
68824.0,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,Complete,,Call 2,5.0,No,Disapprove,Somewhat disapprove,,,,,Getting worse,Worse,High school graduate,No college degree,High school graduate or less,White no college degree,,,Favorable,Unfavorable,,,1.0,Government is doing too many things better left to businesses and individuals,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,All others,Illegal,Yes,,Not so good,Not so good or poor,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,Conservative,103.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,South,,Male,White men,Married men,Rural,Small Cities/Rural,Kentucky,,,,Election day exit poll,,,Before that,In the last month,Before that,In the last month,Generally going in the right direction,,,,Version 1,,1.11817014217377,Yes,
56672.0,Alison Lundergan Grimes,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,,,Complete,No,Call 1,1.0,,,,,,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,5.0,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,,No,,,,,,,,,,,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Yes,Liberal,110.0,Liberal Democrats,Liberal Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,,Female,Black women,,Rural,Small Cities/Rural,Kentucky,Tea Party supporter and not born-again,Somewhat support,Support,Election day exit poll,,,,,,,,,,,Version 5,,0.792294442653656,No,All others
52621.0,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 1,4.0,No,Approve,Somewhat approve,,,,,Getting better,Getting better,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,,,3.0,Government is doing too many things better left to businesses and individuals,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,No,All others,Illegal,Yes,,Poor,Not so good or poor,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,Liberal,10.0,Liberal Democrats,Liberal Democrats,,,White,White,State questionnaire,White,White,,,South,,Female,White women,Married women,Suburbs,Suburbs,Kentucky,,,,Election day exit poll,,,Before that,In the last month,Before that,In the last month,Generally going in the right direction,,,,Version 1,,0.51216185092926,No,
85832.0,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,Yes,Call 3,2.0,,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Government should do more to protect the environment,Favorable,,,Unfavorable,,5.0,,About right,,,,,,,,,,Approve,,,,No,,,,Too conservative,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,Liberal,39.0,Liberal Democrats,Liberal Democrats,,,White,White,State questionnaire,White,White,,,South,Yes,Female,White women,,Rural,Small Cities/Rural,Kentucky,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,Alison Lundergan Grimes did not,Only Mitch McConnell,Mitch McConnell did,Version 3,No,0.892262935638428,,White Born-again/Evangelical Christians
68813.0,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,A few times a year,Occasionally,Complete,No,Call 2,3.0,,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,Government should do more to protect the environment,Favorable,,,Unfavorable,,4.0,,About right,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,,,No,,,,Too conservative,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,Moderate,63.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,,,South,Yes,Female,White women,,"Cities over 500,000","Cities over 50,000",Kentucky,Neither,Somewhat oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,Alison Lundergan Grimes did,Both of them,Mitch McConnell did,Version 3,No,0.837421417236328,No,All others
85008.0,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,Call 3,3.0,No,Disapprove,Strongly disapprove,,,,,Getting better,Getting better,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,,,4.0,Government is doing too many things better left to businesses and individuals,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,No,All others,Legal,No,,Good,Excellent or good,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,Liberal,64.0,Liberal Democrats,Liberal Democrats,,,White,White,State questionnaire,White,White,,,South,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Kentucky,,,,Election day exit poll,,,Before that,In the last month,Before that,In the last month,Generally going in the right direction,,,,Version 1,,0.825787544250488,No,
52614.0,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,Complete,,Call 1,3.0,,,,No,Neither of them,No,Omit,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,To express support for Barack Obama,4.0,,,No,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,The economy,Very well,Very well or somewhat well,No,,,No,,,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,No,Liberal,66.0,Liberal Democrats,Liberal Democrats,Very important,Important,Black,Black,State questionnaire,Black,Black,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Kentucky,,,,Election day exit poll,,,,,,,,,,,Version 2,,0.751694321632385,No,
69135.0,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,,,Complete,,Call 2,3.0,No,Approve,Strongly approve,,,,,Getting better,Getting better,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,Favorable,Unfavorable,,,4.0,Omit,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,,,,All others,Legal,,,Not so good,Not so good or poor,Worried,Very worried,Approve,Strongly approve,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,,Liberal,66.0,Liberal Democrats,Liberal Democrats,,,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,"Cities over 500,000","Cities over 50,000",Kentucky,,,,Election day exit poll,,,In the last three days,In the last month,In the last week,In the last three days,Generally going in the right direction,,,,Version 1,,0.864193558692932,No,
