ID,SENLA14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,CALL,CASSIDYCNSRV,CDNUM,CONTACTCASSIDY,CONTACTLA14,CONTACTLANDRIEU,ECONBETT,ECONDIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,GUNOWNER12,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JINDALPRES,LANDRIEUTOOCLOSE,LATINO,MARIJUANALAW,MARRIED,MINWAGE14,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,RUNOFFLA14,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,VERSION,WEIGHT,WHNCLINC
80846.0,Wayne Albes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,More than once a week,Weekly,All others,Complete,Call 2,Omit,2.0,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,3.0,,,,,,,,,,,,,No,About the right amount,No,Illegal,,Favor,,,,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,23.0,,,,,Black,Black,State questionnaire,Black,Black,,,South,Protestant/Other Non-Catholic Christian,Other christian,,Mary Landrieu,No,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Louisiana,Neutral,Neutral,Election day exit poll,,,,,,,,Version 3,1.36028850078583,No
10239.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,,,,Complete,,,2.0,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,4.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Approve,The economy,,,No,,,,,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,,,,,,Female,Black women,,Suburbs,Suburbs, Louisiana,,,Telephone survey,Somewhat worried,Very or somewhat worried,,,,,,Version 1,0.0,No
56422.0,Wayne Albes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 1,,4.0,Yes,Both of them,Yes,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,To express opposition to Barack Obama,1.0,,Yes,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,Yes,,,,,,,,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,107.0,Moderate/Liberal Republicans,Conservative Independents,Not too important,Not important,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,,,,Would not vote in the U.S. Senate runoff,,Female,White women,Married women,Rural,Small Cities/Rural, Louisiana,,,Election day exit poll,,,,,,,,Version 2,0.535641491413116,No
56415.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,,,,Not complete,Call 1,,4.0,,,,,,,,,,Favorable,Omit,,1.0,,,,,,,,,,,,,,,Yes,,,Favor,,,,,,,,,45+,65+,,,,,,,,3.0,,,,,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,,,South,Protestant/Other Non-Catholic Christian,Protestant,,,No,Male,Latino men,,Rural,Small Cities/Rural, Louisiana,,,Election day exit poll,,,,,,,,Version 3,1.12611877918243,
76327.0,Wayne Albes,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,Call 2,,3.0,No,Neither of them,No,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,To express opposition to Barack Obama,2.0,,Yes,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Illegal immigration,,,No,,Yes,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,16.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,,,Bill Cassidy,,Male,White men,Married men,Suburbs,Suburbs, Louisiana,,,Election day exit poll,,,,,,,,Version 2,1.27633678913116,No
76251.0,Wayne Albes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a month,Occasionally,All others,Complete,Call 2,Too conservative,3.0,,,,,,No high school diploma,No college degree,High school graduate or less,White no college degree,Omit,Omit,,2.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,Too often,No,Illegal,,Favor,,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,16.0,,,,,White,White,State questionnaire,White,White,,,South,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,Mary Landrieu,No,Female,White women,,Suburbs,Suburbs, Louisiana,Neutral,Neutral,Election day exit poll,,,,,,,,Version 3,1.15709805488586,Yes
9688.0,Wayne Albes,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,More than once a week,Weekly,All others,Complete,,,1.0,,,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,2.0,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,,No,,Yes,,,,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,,Black,Black,National questionnaire,Black,Black,,,South,Something else,Other,,,,Female,Black women,Married women,Suburbs,Suburbs, Louisiana,,,Telephone survey,,,,,,,,Version 3,0.0,No
76026.0,Wayne Albes,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week,Weekly,All others,Complete,Call 2,Too conservative,2.0,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,3.0,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,No,About the right amount,No,Illegal,,Favor,,,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,23.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Black,Black,State questionnaire,Black,Black,,,South,Protestant/Other Non-Catholic Christian,Other christian,,Mary Landrieu,No,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Louisiana,Strongly oppose,Oppose,Election day exit poll,,,,,,,,Version 3,1.47513508796692,No
55744.0,Wayne Albes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Complete,Call 1,,2.0,No,Neither of them,No,,,College graduate,College graduate,More than High school graduate,White college degree,,,To express opposition to Barack Obama,5.0,,No,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,No,,,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,,,,,,,Conservative,69.0,,,Very important,Important,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,,,Bill Cassidy,,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000", Louisiana,,,Election day exit poll,,,,,,,,Version 2,0.349633485078812,No
96080.0,Wayne Albes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,Call 3,,4.0,,,,Getting worse,Worse,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,1.0,Government is doing too many things better left to businesses and individuals,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Disapprove,,,,No,,Yes,,Not so good,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,3.0,Independent/Something else,Conservative Republicans,,,White,White,State questionnaire,White,White,,,South,,,,Mary Landrieu,,Male,White men,Married men,Rural,Small Cities/Rural, Louisiana,,,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,In the last month,Before that,In the last month,Seriously off on the wrong track,Version 1,1.12611877918243,No
