ID,SENAR14,GOVAR14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HCLINPRES,HEALTHCARE14,HUCKABEEPRES,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PTYIMPT14,PTYIMPT14B,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRAR14,UNFAIRCOTTON,UNFAIRPRYOR,VERSION,WHNCLINC,WHTEVANG,ZIPCODE,WEIGHT
99853.0,Mark Pryor,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,4.0,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,5.0,,,Omit,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Illegal immigration,No,Yes,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,35.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,Female,White women,Married women,Suburbs,Suburbs,Arkansas,,,,Election day exit poll,,,,,,,,,Version 2,Yes,,71968.0,0.581279993057251
99852.0,Mark Pryor,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,4.0,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,5.0,,,Omit,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Illegal immigration,No,Yes,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,35.0,Moderate/Liberal Republicans,Moderate Independents,,,White,White,National questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,,Female,White women,Married women,Suburbs,Suburbs,Arkansas,,,,Election day exit poll,,,,,,,,,Version 2,Yes,,71968.0,0.581279993057251
64174.0,Mark Pryor,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,No,Call 1,4.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,To express opposition to Barack Obama,5.0,,Omit,Went too far,Yes,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Health care,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,42.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Male,White men,Non married men,Rural,Small Cities/Rural,Arkansas,Neither,Neutral,Neutral,Election day exit poll,,,,,,,,,Version 2,Yes,All others,71833.0,0.609059870243073
80380.0,Mark Pryor,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,No,Call 2,2.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Barack Obama was not a factor,3.0,,Yes,Was about right,No,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,80.0,Liberal Democrats,Liberal Democrats,,,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South,Yes,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Neither,Strongly oppose,Oppose,Election day exit poll,,,,,,,,,Version 2,No,All others,72210.0,0.640004932880402
3928.0,Mark Pryor,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,2.0,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,3.0,Government is doing too many things better left to businesses and individuals,,,,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,No,,Not worried,Not too worried,Disapprove,Strongly disapprove,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Not at all important,Not important,White,White,State questionnaire,White,White,,,South,,Male,White men,,Suburbs,Suburbs,Arkansas,,,,Telephone survey,Before that,Before that,Before that,Before that,Seriously off on the wrong track,Only Tom Cotton,Tom Cotton did,Mark Pryor did not,Version 1,No,,72113.0,1.56779384613037
4368.0,Mark Pryor,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,More than once a week,Weekly,Complete,,,3.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Barack Obama was not a factor,4.0,,Yes,Was about right,No,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Omit,Female,White women,Non married women,Rural,Small Cities/Rural,Arkansas,,Neutral,Neutral,Telephone survey,,,,,,,,,Version 2,Yes,All others,72611.0,0.361947476863861
4324.0,Mark Pryor,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,More than once a week,Weekly,Complete,Yes,,4.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,To express opposition to Barack Obama,1.0,,Yes,Did not go far enough,Yes,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Illegal immigration,No,Yes,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South,No,Female,White women,Married women,Rural,Small Cities/Rural,Arkansas,Both Tea Party supporter and born-again,Somewhat support,Support,Telephone survey,,,,,,,,,Version 2,Yes,White Born-again/Evangelical Christians,71655.0,0.625924289226532
95973.0,Mark Pryor,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 3,2.0,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable,,2.0,Government is doing too many things better left to businesses and individuals,,,,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,112.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,White,White,State questionnaire,White,White,,,South,,Male,White men,,Rural,Small Cities/Rural,Arkansas,,,,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,Only Tom Cotton,Tom Cotton did,Mark Pryor did not,Version 1,Yes,,72143.0,0.596958100795746
93621.0,Mark Pryor,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,Call 3,2.0,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,3.0,Government is doing too many things better left to businesses and individuals,,,,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Worried,Very worried,Approve,Strongly approve,,,18-44,18-64,,,,,,,Liberal,76.0,,,Very important,Important,White,White,State questionnaire,White,White,,,South,,Female,White women,,Suburbs,Suburbs,Arkansas,,,,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,Both of them,Tom Cotton did,Mark Pryor did,Version 1,No,,72076.0,0.685075700283051
63325.0,Tom Cotton,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Once a week,Weekly,Complete,,Call 1,1.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,Omit,1.0,,No,Omit,No,,,,,,,,,,Omit,No,Yes,,,,,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,,,,,,,,39.0,,,,,White,White,State questionnaire,White,White,Omit,Omit,South,No,Male,White men,Married men,Rural,Small Cities/Rural,Arkansas,,Neutral,Neutral,Election day exit poll,,,,,,,,,Version 2,,All others,72450.0,1.98864030838013
