ID,SENMS14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTACTCHILDERS,CONTACTCOCHRAN,CONTACTMS14,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,LATINO,MARRIED,MCDANCHILDERS,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
77919.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 2,4.0,,,,College graduate,College graduate,More than High school graduate,White college degree,,,2.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,No,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,104.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,South,Female,White women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.349249601364136,No,White Born-again/Evangelical Christians,39577.0
77195.0,Travis Childers,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 2,1.0,,,,High school graduate,No college degree,High school graduate or less,White no college degree,,,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",No,,,Worried,Somewhat worried,Approve,Strongly approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,113.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,South,Male,White men,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.912334382534027,No,,39339.0
90654.0,Travis Childers,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Not complete,Yes,Call 3,4.0,,,,,,,,,,2.0,,,,,,,,,,No,,,,,,,18-44,18-64,,,,,,,,104.0,,,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.298267930746078,,All others,39577.0
63618.0,Travis Childers,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,4.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,,,Worried,Very worried,Approve,Strongly approve,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.286323815584183,No,,39577.0
79225.0,Travis Childers,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 2,4.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Yes,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,Married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 3,0.286323815584183,No,All others,39577.0
76128.0,Travis Childers,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,,Call 2,3.0,,,,,,,,,,2.0,,,,,,,,,,No,,,Omit,Omit,Omit,Omit,45+,18-64,,,,,,,,97.0,,,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Suburbs,Suburbs, Mississippi,,,,Election day exit poll,,Version 1,1.19825923442841,,,39047.0
11444.0,Travis Childers,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,3.0,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,1.0,,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,No,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,South,Female,White women,Non married women,Rural,Small Cities/Rural, Mississippi,,,,Telephone survey,,Version 2,0.0,No,,39120.0
79020.0,Travis Childers,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,Call 2,4.0,,,,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,,,Not worried,Not at all worried,Approve,Strongly approve,45+,65+,Republican,Black non-Democrat,All Republicans,Republican,Republican Men,All others,Conservative,104.0,Independent/Something else,Conservative Republicans,Black,Black,National questionnaire,Black,Black,South,Male,Black men,,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 1,0.30307212471962,No,,39577.0
90600.0,Travis Childers,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others,Complete,,Call 3,4.0,,,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,2.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",No,Yes,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,All others,Moderate,104.0,Conservative Republicans,Mod./Liberal Republicans,Other,Asian,National questionnaire,Asian,Asian,South,Female,All other races,Married women,Rural,Small Cities/Rural, Mississippi,,,,Election day exit poll,,Version 2,0.349249601364136,No,,39577.0
63562.0,Travis Childers,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Yes,Call 1,4.0,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,104.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women,,Rural,Small Cities/Rural, Mississippi,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,,Version 5,0.289743572473526,No,All others,39577.0
