ID,WEIGHT,SEN2GA21,SENGA21,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLSEN,COUNT2GA,COUNTACCGA,COVIDHARDSHIP,COVIDHARDSHIP2,COVIDWORRY,COVIDWORRY2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GA2020FAIR,GEOCODE,LATINO,LOEFFLERISS,OSSOFFISS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PERDUEISS,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,VERSION,VETVOTER,VOTE2020,VOTEMETHOD,WARNOCKISS,WHTEVANG
277266654.0,2.55561526086,Raphael Warnock,Jon Ossoff,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,No,,12.0,The Democratic Party,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Very worried,Very worried or somewhat worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Yes,4.0,No,Too liberal,About right,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Too conservative,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,South,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,Version 1,No,Joe Biden,By mail,About right,All others
277266655.0,1.9929568515,Kelly Loeffler,David Perdue,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,12.0,The Republican Party,Not very confident or not at all confident,Not very confident,No financial hardship at all,No financial hardship at all,Somewhat worried,Very worried or somewhat worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,No,4.0,No,About right,Too conservative,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,About right,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,Version 1,,Donald Trump,By mail,Too liberal,All others
277266656.0,5.61305372369,Kelly Loeffler,David Perdue,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,8.0,The Republican Party,Not very confident or not at all confident,Not very confident,No financial hardship at all,No financial hardship at all,Not at all worried,Not too worried or not at all worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,No,5.0,No,About right,Too liberal,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,About right,Liberal,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,South,Male,White men,Rural,Small Cities/Rural,English, Georgia,Other,Telephone survey,Version 1,No,Donald Trump,By mail,Too conservative,White Born-again/Evangelical Christians
277266657.0,4.26089649448,Kelly Loeffler,David Perdue,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,14.0,The Republican Party,Not very confident or not at all confident,Not at all confident,No financial hardship at all,No financial hardship at all,Somewhat worried,Very worried or somewhat worried,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,1.0,No,About right,Too liberal,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Too liberal,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,Version 1,No,Donald Trump,By mail,Too liberal,All others
277266658.0,2.84621003039,Raphael Warnock,Jon Ossoff,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Yes,,8.0,The Democratic Party,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Somewhat worried,Very worried or somewhat worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Yes,5.0,Yes,Too conservative,About right,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Too conservative,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,Male,Latino men,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,Version 1,No,Joe Biden,By mail,About right,All others
277266659.0,4.76985144908,Kelly Loeffler,David Perdue,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,4.0,The Republican Party,Not very confident or not at all confident,Not very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Very worried,Very worried or somewhat worried,Absentee or early in-person,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,2.0,No,About right,Too liberal,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,About right,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,Version 1,Yes,Donald Trump,By mail,Too liberal,White Born-again/Evangelical Christians
277266660.0,4.83397054088,Raphael Warnock,Jon Ossoff,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,5.0,The Democratic Party,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Very worried,Very worried or somewhat worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Yes,3.0,No,Too conservative,About right,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Too conservative,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,Version 1,Yes,Joe Biden,By mail,About right,All others
277266661.0,13.53516370934,Raphael Warnock,Jon Ossoff,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,No,,4.0,The Democratic Party,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Somewhat worried,Very worried or somewhat worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,1.0,No,Too conservative,About right,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Too conservative,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Non-white,Black,South,Male,Black men,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,Version 1,No,Joe Biden,By mail,About right,All others
277266662.0,0.86852920431,Kelly Loeffler,David Perdue,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,4.0,The Republican Party,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Not at all worried,Not too worried or not at all worried,Absentee or early in-person,Omit,,,,,,Yes,2.0,No,Omit,Too liberal,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,About right,,,,,White,White,State questionnaire,White,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,Version 1,No,Donald Trump,By mail,Too liberal,All others
277266663.0,28.0540428559,Raphael Warnock,Jon Ossoff,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,6.0,The Democratic Party,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Not too worried,Not too worried or not at all worried,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,3.0,No,Too conservative,About right,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Too conservative,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,Version 1,No,Joe Biden,By mail,About right,All others
